10.0221	1.29521	5.19461	1.10423	10.0484	1.44598	L0	9.86254	1.31118	4.98922	1.14794	0.146332	0.125934	0.871232	0.387706
10.2692	1.45355	5.02524	1.32981	10.5377	1.72555	R0.0355601	10.1117	1.37011	4.97074	1.20841	0.146636	0.125001	0.859738	0.383077
10.5194	1.52119	5.01115	1.38197	10.2492	1.45907	L0	10.3598	1.4321	4.95106	1.2701	0.146983	0.124209	0.848699	0.378558
10.7424	1.63066	4.82227	1.48726	10.9084	1.70343	R0.0435532	10.6069	1.49721	4.93014	1.33298	0.146706	0.124449	0.838196	0.374591
10.9824	1.70627	4.80479	1.54279	10.7313	1.45265	L0	10.853	1.56549	4.90794	1.39701	0.146308	0.124873	0.828068	0.370695
11.2651	1.68757	4.89088	1.43248	11.4783	1.42876	R0.00861016	11.0979	1.637	4.8844	1.46213	0.146841	0.123624	0.818151	0.366284
11.5086	1.76027	4.87672	1.47998	11.587	1.61462	L0	11.3416	1.71179	4.85948	1.52832	0.147342	0.122401	0.808586	0.362075
11.7217	1.7684	4.82036	1.41018	11.4763	1.53917	R0.0140842	11.584	1.78992	4.83313	1.59551	0.147128	0.121046	0.799347	0.359025
11.9617	1.83988	4.80763	1.45296	11.7788	1.74591	L0	11.8251	1.87144	4.80531	1.66366	0.146902	0.119786	0.790416	0.3564
12.21	1.9704	4.86304	1.60301	12.136	2.14937	R0.0130254	12.0647	1.95639	4.77598	1.73273	0.146866	0.118495	0.781882	0.353024
12.452	2.05158	4.84758	1.64916	12.3226	1.78353	L0	12.3029	2.04482	4.74508	1.80265	0.146915	0.117231	0.773664	0.349965
12.7065	2.04907	4.93308	1.55903	12.5457	1.77728	R0.0133145	12.5394	2.13677	4.71257	1.87338	0.147363	0.116692	0.766224	0.34926
12.952	2.1279	4.92048	1.59838	12.5924	2.17509	L0	12.7743	2.23227	4.67842	1.94485	0.148045	0.116454	0.759153	0.349203
13.2113	2.31246	4.9725	1.82355	13.2198	2.6644	R0.0172158	13.0075	2.33137	4.64258	2.01701	0.149365	0.115315	0.75297	0.346774
13.4587	2.40462	4.95561	1.86897	13.0875	2.40708	L0	13.2388	2.43409	4.605	2.08981	0.151064	0.114253	0.747166	0.344747
13.5484	2.69246	4.58969	2.20871	12.7087	3.12439	R0.139596	13.4682	2.54047	4.56565	2.16317	0.150018	0.115095	0.739955	0.341475
